Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Comarcas	Tamaño de las explotaciones según UGT	Especies animales	Tipos de ganado	Tipos ganado bovino	Características básicas de la explotación	Tipo de dato	Total
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	4 Porcinos			Cabezas	Valor	7.319
Total Nacional	03 Asturias, Principado de			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	157.527
Total Nacional	03 Asturias, Principado de	33 Asturias		Todas las explotaciones	1 Bovinos			Cabezas	Valor	409.918
Total Nacional	03 Asturias, Principado de	33 Asturias		Todas las explotaciones	2 Ovinos			Cabezas	Valor	40.084
Total Nacional	03 Asturias, Principado de	33 Asturias		Todas las explotaciones	4 Porcinos			Cabezas	Valor	7.319
Total Nacional	03 Asturias, Principado de	33 Asturias		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	157.527
Total Nacional	04 Balears, Illes			Todas las explotaciones	1 Bovinos			Cabezas	Valor	28.559
Total Nacional	04 Balears, Illes			Todas las explotaciones	2 Ovinos			Cabezas	Valor	285.736
Total Nacional	04 Balears, Illes			Todas las explotaciones	4 Porcinos			Cabezas	Valor	85.739
Total Nacional	04 Balears, Illes			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	286.546
Total Nacional	04 Balears, Illes	07 Balears, Illes		Todas las explotaciones	1 Bovinos			Cabezas	Valor	28.559
Total Nacional	04 Balears, Illes	07 Balears, Illes		Todas las explotaciones	2 Ovinos			Cabezas	Valor	285.736
Total Nacional	04 Balears, Illes	07 Balears, Illes		Todas las explotaciones	4 Porcinos			Cabezas	Valor	85.739
Total Nacional	04 Balears, Illes	07 Balears, Illes		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	286.546
Total Nacional	05 Canarias			Todas las explotaciones	1 Bovinos			Cabezas	Valor	19.938
Total Nacional	05 Canarias			Todas las explotaciones	2 Ovinos			Cabezas	Valor	40.316
Total Nacional	05 Canarias			Todas las explotaciones	4 Porcinos			Cabezas	Valor	37.931
Total Nacional	05 Canarias			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	2.601.888
Total Nacional	05 Canarias	35 Palmas, Las		Todas las explotaciones	1 Bovinos			Cabezas	Valor	12.949
Total Nacional	05 Canarias	35 Palmas, Las		Todas las explotaciones	2 Ovinos			Cabezas	Valor	28.653
Total Nacional	05 Canarias	35 Palmas, Las		Todas las explotaciones	4 Porcinos			Cabezas	Valor	15.265
Total Nacional	05 Canarias	35 Palmas, Las		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	838.520
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife		Todas las explotaciones	1 Bovinos			Cabezas	Valor	6.989
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife		Todas las explotaciones	2 Ovinos			Cabezas	Valor	11.663
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife		Todas las explotaciones	4 Porcinos			Cabezas	Valor	22.666
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.763.368
Total Nacional	06 Cantabria			Todas las explotaciones	1 Bovinos			Cabezas	Valor	269.640
Total Nacional	06 Cantabria			Todas las explotaciones	2 Ovinos			Cabezas	Valor	34.273
Total Nacional	06 Cantabria			Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.082
Total Nacional	06 Cantabria			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	80.444
Total Nacional	06 Cantabria	39 Cantabria		Todas las explotaciones	1 Bovinos			Cabezas	Valor	269.640
Total Nacional	06 Cantabria	39 Cantabria		Todas las explotaciones	2 Ovinos			Cabezas	Valor	34.273
Total Nacional	06 Cantabria	39 Cantabria		Todas las explotaciones	4 Porcinos			Cabezas	Valor	2.082
Total Nacional	06 Cantabria	39 Cantabria		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	80.444
Total Nacional	07 Castilla y León			Todas las explotaciones	1 Bovinos			Cabezas	Valor	1.494.053
Total Nacional	07 Castilla y León			Todas las explotaciones	2 Ovinos			Cabezas	Valor	2.664.103
Total Nacional	07 Castilla y León			Todas las explotaciones	4 Porcinos			Cabezas	Valor	4.425.015
Total Nacional	07 Castilla y León			Todas las explotaciones	5 Aves de corral			Cabezas	Valor	22.847.225
Total Nacional	07 Castilla y León	05 Ávila		Todas las explotaciones	1 Bovinos			Cabezas	Valor	242.453
Total Nacional	07 Castilla y León	05 Ávila		Todas las explotaciones	2 Ovinos			Cabezas	Valor	158.639
Total Nacional	07 Castilla y León	05 Ávila		Todas las explotaciones	4 Porcinos			Cabezas	Valor	246.374
Total Nacional	07 Castilla y León	05 Ávila		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	1.670.613
Total Nacional	07 Castilla y León	09 Burgos		Todas las explotaciones	1 Bovinos			Cabezas	Valor	82.681
Total Nacional	07 Castilla y León	09 Burgos		Todas las explotaciones	2 Ovinos			Cabezas	Valor	177.527
Total Nacional	07 Castilla y León	09 Burgos		Todas las explotaciones	4 Porcinos			Cabezas	Valor	509.874
Total Nacional	07 Castilla y León	09 Burgos		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	3.762.964
Total Nacional	07 Castilla y León	24 León		Todas las explotaciones	1 Bovinos			Cabezas	Valor	164.697
Total Nacional	07 Castilla y León	24 León		Todas las explotaciones	2 Ovinos			Cabezas	Valor	428.263
Total Nacional	07 Castilla y León	24 León		Todas las explotaciones	4 Porcinos			Cabezas	Valor	139.299
Total Nacional	07 Castilla y León	24 León		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	2.766.669
Total Nacional	07 Castilla y León	34 Palencia		Todas las explotaciones	1 Bovinos			Cabezas	Valor	67.903
Total Nacional	07 Castilla y León	34 Palencia		Todas las explotaciones	2 Ovinos			Cabezas	Valor	206.450
Total Nacional	07 Castilla y León	34 Palencia		Todas las explotaciones	4 Porcinos			Cabezas	Valor	136.224
Total Nacional	07 Castilla y León	34 Palencia		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	591.216
Total Nacional	07 Castilla y León	37 Salamanca		Todas las explotaciones	1 Bovinos			Cabezas	Valor	596.495
Total Nacional	07 Castilla y León	37 Salamanca		Todas las explotaciones	2 Ovinos			Cabezas	Valor	361.541
Total Nacional	07 Castilla y León	37 Salamanca		Todas las explotaciones	4 Porcinos			Cabezas	Valor	662.676
Total Nacional	07 Castilla y León	37 Salamanca		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	359.208
Total Nacional	07 Castilla y León	40 Segovia		Todas las explotaciones	1 Bovinos			Cabezas	Valor	135.326
Total Nacional	07 Castilla y León	40 Segovia		Todas las explotaciones	2 Ovinos			Cabezas	Valor	208.378
Total Nacional	07 Castilla y León	40 Segovia		Todas las explotaciones	4 Porcinos			Cabezas	Valor	1.281.574
Total Nacional	07 Castilla y León	40 Segovia		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	5.370.225
Total Nacional	07 Castilla y León	42 Soria		Todas las explotaciones	1 Bovinos			Cabezas	Valor	23.933
Total Nacional	07 Castilla y León	42 Soria		Todas las explotaciones	2 Ovinos			Cabezas	Valor	186.958
Total Nacional	07 Castilla y León	42 Soria		Todas las explotaciones	4 Porcinos			Cabezas	Valor	558.476
Total Nacional	07 Castilla y León	42 Soria		Todas las explotaciones	5 Aves de corral			Cabezas	Valor	661.134
Total Nacional	07 Castilla y León	47 Valladolid		Todas las explotaciones	1 Bovinos			Cabezas	Valor	56.966
Total Nacional	07 Castilla y León	47 Valladolid		Todas las explotaciones	2 Ovinos			Cabezas	Valor	307.148
Total Nacional	07 Castilla y León	47 Valladolid		Todas las explotaciones	4 Porcinos			Cabezas	Valor	409.284
