STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,statinfo,Statistical information,lsu,Size classes of total livestock units (LSU),uaarea,Utilised agricultural area,animals,Live animals,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EE,Estonia,2023,,1920160,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2005,,32381800,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2007,,33495060,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2010,,36767570,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2013,,27882450,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2016,,30385550,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2020,,27412120,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EL,Greece,2023,,29987370,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2005,,174345070,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2007,,164446480,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2010,,200903730,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2013,,205823080,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2016,,203105800,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),ES,Spain,2020,,211576390,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2005,,1416835440,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2007,,1504902770,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2010,,1616550190,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2013,,1618090960,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,,1692293730,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,1629665380,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU27_2020,European Union - 27 countries (from 2020),2007,,1345917920,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU27_2020,European Union - 27 countries (from 2020),2010,,1467471830,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU27_2020,European Union - 27 countries (from 2020),2013,,1462584190,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU27_2020,European Union - 27 countries (from 2020),2016,,1527914680,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),EU27_2020,European Union - 27 countries (from 2020),2020,,1629665380,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2005,,10536950,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2007,,9791070,,,,,
dataflow,ESTAT:EF_LSK_POULTRY(1.0),Poultry by NUTS 2 region,A,Annual,TOTAL,Total,TOTAL,Total,TOTAL,Total,A5000,Live poultry,HD,Head (animal),FI,Finland,2010,,9307140,,,,,
